Date(UTC),AreaDisplayName,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2022-01-01,France (FR),78.48,85.16,50.0,37.67,39.7,40.59,43.26,49.66,70.05,76.79,84.1,94.74,96.8,97.17,98.52,114.5,149.97,146.33,140.28,121.88,102.61,97.46,85.16,57.08
2022-01-02,France (FR),52.59,48.97,34.94,29.56,33.97,34.52,41.8,48.95,60.01,70.09,66.26,64.54,46.96,40.01,39.3,40.79,47.91,65.09,67.85,62.22,46.16,46.29,32.93,2.71
2022-01-03,France (FR),1.71,1.24,0.06,0.09,1.44,41.11,90.54,161.79,180.36,125.03,100.74,96.39,95.22,102.67,112.87,126.8,148.49,175.06,180.0,146.43,105.71,114.11,100.36,125.47
2022-01-04,France (FR),115.55,113.29,105.81,105.0,115.11,156.91,182.64,178.91,190.0,189.88,182.42,182.46,179.59,179.0,180.93,166.69,189.88,184.94,178.99,156.12,148.65,137.92,105.0,120.11
2022-01-05,France (FR),105.1,84.5,75.38,79.11,94.79,169.04,215.98,211.13,226.52,224.45,202.8,205.0,197.34,195.6,200.0,206.07,242.1,265.0,265.0,241.93,218.95,207.46,200.0,207.15
2022-01-06,France (FR),204.22,191.82,180.7,170.1,194.38,204.22,228.25,240.98,257.44,245.24,231.9,226.0,209.2,216.06,230.77,245.95,274.11,273.44,278.36,251.71,229.96,216.44,210.0,213.47
2022-01-07,France (FR),189.0,180.0,164.9,162.8,165.0,165.2,215.89,254.19,257.24,254.18,241.22,240.2,212.69,207.05,210.11,220.21,243.84,260.0,250.0,239.09,213.81,216.13,205.74,184.96
2022-01-08,France (FR),162.79,166.0,161.63,160.0,154.3,166.0,182.91,215.89,231.0,228.95,215.39,206.68,185.0,169.52,162.8,161.73,189.9,189.16,185.53,159.47,126.09,123.73,147.94,109.18
2022-01-09,France (FR),89.61,80.24,55.46,45.82,48.5,74.29,89.78,104.79,147.36,149.48,157.71,167.63,165.06,170.09,189.04,190.96,223.3,243.94,240.0,230.82,214.02,215.88,203.8,196.23
2022-01-10,France (FR),191.85,195.91,186.66,178.04,191.65,237.44,299.95,313.92,315.0,310.41,310.08,300.0,297.01,299.96,302.73,297.97,313.79,310.82,294.98,267.45,242.23,217.03,198.93,210.34
2022-01-11,France (FR),202.42,197.6,193.0,194.9,204.45,230.92,286.61,300.02,297.16,277.02,261.69,249.44,247.7,255.01,277.9,289.94,316.4,315.9,309.2,285.33,245.0,235.22,211.84,196.65
2022-01-12,France (FR),187.1,184.27,179.58,178.33,193.5,236.76,273.18,300.1,292.74,275.5,258.65,245.11,232.08,234.77,240.01,255.0,284.82,285.97,269.03,253.1,222.79,213.64,200.22,190.0
2022-01-13,France (FR),188.72,187.87,182.88,186.65,187.42,195.09,236.26,243.53,257.58,254.17,230.0,223.12,214.0,214.88,221.65,243.44,266.3,274.0,262.95,252.46,230.1,217.65,207.99,205.0
2022-01-14,France (FR),199.96,196.42,192.77,192.43,197.6,218.9,259.24,284.66,292.5,274.1,256.54,243.74,217.97,213.01,220.0,238.05,262.0,280.67,269.0,243.07,225.61,216.68,205.96,222.01
2022-01-15,France (FR),214.92,209.61,196.7,193.04,195.05,200.9,217.21,223.76,230.0,222.39,214.92,208.43,200.0,203.09,213.98,226.32,260.0,267.03,261.41,243.62,227.85,222.66,217.0,225.92
2022-01-16,France (FR),216.0,207.62,197.22,186.7,186.6,198.01,200.03,200.0,204.86,204.5,204.43,205.21,195.02,191.9,196.92,201.02,222.87,257.45,265.36,257.13,241.9,228.52,206.0,252.53
2022-01-17,France (FR),242.23,232.25,215.01,209.55,222.78,249.93,297.21,290.0,306.09,288.72,272.94,279.97,255.46,253.64,256.99,264.73,276.49,299.03,288.69,277.01,257.64,248.63,229.6,213.9
2022-01-18,France (FR),203.27,200.48,194.52,193.99,205.0,229.1,274.05,294.4,290.64,275.4,265.1,250.0,244.27,243.02,249.22,260.0,278.0,294.36,278.41,259.29,240.0,225.84,213.54,211.77
2022-01-19,France (FR),199.85,203.69,193.91,188.7,195.36,222.81,283.8,285.36,270.11,272.63,278.02,256.0,240.0,229.39,235.31,229.06,236.0,282.7,273.89,254.21,222.26,208.8,191.09,194.18
2022-01-20,France (FR),185.18,179.53,171.43,168.18,181.5,212.34,257.23,272.9,281.62,269.14,268.78,262.0,242.02,229.0,219.91,227.0,248.51,265.0,265.45,246.1,220.56,206.12,198.75,197.6
2022-01-21,France (FR),187.0,192.99,186.69,182.3,192.17,211.68,253.84,263.75,261.98,242.24,221.87,213.47,195.3,192.48,190.0,189.45,228.63,266.0,260.29,233.1,221.97,207.56,208.29,198.3
2022-01-22,France (FR),189.2,187.21,178.72,176.04,176.35,187.35,196.91,210.0,215.38,217.6,209.66,201.72,191.05,189.99,196.5,196.52,222.31,240.0,245.27,227.75,211.88,203.0,197.0,197.14
2022-01-23,France (FR),190.0,187.98,179.73,179.04,179.49,179.93,189.99,190.0,195.31,195.34,195.87,195.41,186.29,184.49,190.0,194.0,214.95,239.49,244.31,224.96,204.84,201.0,187.68,190.27
